County/Court	court location website	court hours webpage	court Rules (local) webpage	court Fees webpage	court Judges webpage	court department directory webpage	Court Holidays	case types filed at location	notes				case type abbrev. = 	case type
Oroville - Butte Co. Courthouse	http://www.buttecourt.ca.gov/courthouses/BCCHcourthouse.htm	http://www.buttecourt.ca.gov/courthouses/BCCHcourthouse.htm	http://www.buttecourt.ca.gov/local_rules/current_rules/LR20150701.htm	http://www.buttecourt.ca.gov/fee_schedule/	http://www.buttecourt.ca.gov/calendarlookup/CMSCalendarLookup.cfm	http://www.buttecourt.ca.gov/courthouses/BCCHcourthouse.htm		AP, CH, CR, JV, IN, SC, TR, UD	Ditto					
Calaveras County	http://www.calaveras.courts.ca.gov/info/contact	http://www.calaveras.courts.ca.gov/info/contact	http://www.calaveras.courts.ca.gov/general-info/local-rules	http://www.calaveras.courts.ca.gov/forms-filing/fee-schedule	http://www.calaveras.courts.ca.gov/	none		CV, CR, FL, IN, JV, PR, SC, TR, UD	Only 1 court and 1 judge, certain pages had contact information on specific topic selected.					
Colusa County	http://www.colusa.courts.ca.gov/contact_info.asp	http://www.colusa.courts.ca.gov/contact_info.asp	http://www.colusa.courts.ca.gov/rules.asp	http://www.colusa.courts.ca.gov/filing_fees.asp	http://www.colusa.courts.ca.gov/default.asp	none		AP, CH, CV, CR, FL, IN, SC, TR	Once accessed the fees and rules menu offer the viewer to open a pdf which will provide the viewer the information for each.					
Contra Costa County	none	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageId=1763&parentID=2466&nodeID=3	http://www.cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageID=1754	none	http://www.cc-courts.org/index.cfm?fuseaction=page.viewPage&pageID=6624&nodeID=3		AP, CH, FL, PR, SC, TR, UD	Contra Costra County doesn't have a specific Courthouse. It is divided into just the four of them.					
Martinez	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageId=1763&parentID=2466&nodeID=3	http://www.cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageID=1754	http://www.cc-courts.org/index.cfm?fuseaction=page.viewPage&pageID=1740&nodeID=3	Ditto		CH, CV, CR, FL, JV, PR, UD	URL listed has a list of Judicial Officers showing only one judge in Martinez.					
Pittsburg	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageId=1763&parentID=2466&nodeID=3	http://www.cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageID=1754	none			CH, CV, CR,IN, TR, SC, UD						
Richmond	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageId=1763&parentID=2466&nodeID=3	http://www.cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageID=1754	none			CH, CR, SC, TR, UD						
Walnut Creek	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://www.cc-courts.org/index.cfm?fuseaction=Page.ViewPage&pageId=6742	http://cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageId=1763&parentID=2466&nodeID=3	http://www.cc-courts.org/index.cfm?fuseaction=Page.viewPage&pageID=1754	none			IN, TR						
Del Norte County	http://www.delnorte.courts.ca.gov/	http://www.delnorte.courts.ca.gov/	http://www.delnorte.courts.ca.gov/general-info#	none	http://www.delnorte.courts.ca.gov/general-info/judicial-assignments	http://www.delnorte.courts.ca.gov/general-info		 CV, CR, FL, IN, JV, PR, SC, TR	In the General Information tab there is a link to a PDF showing court rules. going through the Divisions tab one can find the various fees for each.					
El Dorado County	http://eldocourtweb.eldoradocourt.org/departments/default.aspx#main	http://eldocourtweb.eldoradocourt.org/departments/default.aspx#main	http://eldocourtweb.eldoradocourt.org/general_information/rules.aspx	http://eldocourtweb.eldoradocourt.org/general_information/fees.aspx	http://eldocourtweb.eldoradocourt.org/departments/	http://eldocourtweb.eldoradocourt.org/departments/		AP, CH, CV, CR, FL,PR, SC, TR, UD						
