County/Court	court location website	court hours webpage	court Rules (local) webpage	court Fees webpage	court Judges webpage	court department directory webpage	Court Holidays	case types filed at location	notes				case type abbrev. = 	case type
Madera County	http://madera.courts.ca.gov/MaderaCourtLocations.htm	http://madera.courts.ca.gov/MaderaJury.htm	http://madera.courts.ca.gov/MaderaLocalRules.htm	http://madera.courts.ca.gov/MaderaFeeSchedule2013.htm	http://madera.courts.ca.gov/index.htm	http://madera.courts.ca.gov/MaderaCourtLocations-Main.htm		AP, CH, CV, CR, FL, IN, JV, MH, PR, SC, TR, UD						
Bass Lake	http://madera.courts.ca.gov/MaderaCourtLocations.htm	http://madera.courts.ca.gov/MaderaJury.htm	http://madera.courts.ca.gov/MaderaLocalRules.htm	http://madera.courts.ca.gov/MaderaFeeSchedule2013.htm	http://madera.courts.ca.gov/index.htm	http://madera.courts.ca.gov/MaderaCourtLocations-Bass%20Lake.htm		CV, CR, FL, PR, SC						
Marin County	http://www.marincourt.org/directions.htm	none	none	http://www.marincourt.org/	none	none		CV, CR, FL, JV, PR, SC, TR	No information on hours, court rules, judges were found. Drop down menu for fees leads directly to a PDF					
Mariposa County	http://www.mariposacourt.org/MariposaLocation.htm	http://www.mariposacourt.org/	http://www.mariposacourt.org/LocalRules.htm	http://www.mariposacourt.org/	http://www.mariposacourt.org/	none		CV, CR, FL, JV, PR, SC, TR	Tab for fees leads directly to PDF					
Mendocino County	http://www.mendocino.courts.ca.gov/general_info/locations.asp	http://www.mendocino.courts.ca.gov/general_info/ukiah.asp	http://www.mendocino.courts.ca.gov/general_info/courtrules.asp	http://www.mendocino.courts.ca.gov/forms_and_filing/fees.asp	http://www.mendocino.courts.ca.gov/index.asp	http://www.mendocino.courts.ca.gov/general_info/locations.asp		CV, CR, FL, JV, PR, SC, TR						
Fort Bragg	http://www.mendocino.courts.ca.gov/general_info/locations.asp	http://www.mendocino.courts.ca.gov/general_info/fortbragg.asp	http://www.mendocino.courts.ca.gov/general_info/courtrules.asp	http://www.mendocino.courts.ca.gov/forms_and_filing/fees.asp	http://www.mendocino.courts.ca.gov/index.asp	http://www.mendocino.courts.ca.gov/general_info/locations.asp		CV, CR, FL, JV, PR, SC, TR						
Point Arena	http://www.mendocino.courts.ca.gov/general_info/locations.asp	http://www.mendocino.courts.ca.gov/general_info/pointarena.asp	http://www.mendocino.courts.ca.gov/general_info/courtrules.asp	http://www.mendocino.courts.ca.gov/forms_and_filing/fees.asp	http://www.mendocino.courts.ca.gov/index.asp	http://www.mendocino.courts.ca.gov/general_info/locations.asp		CV, CR, FL, JV, PR, SC, TR						
Merced County	http://www.mercedcourt.org/maps_directions.shtml	http://www.mercedcourt.org/hours_of_operation.shtml	http://www.mercedcourt.org/local_rules.shtml	http://www.mercedcourt.org/fee_bail_schedules.shtml	http://www.mercedcourt.org/index.shtml	http://www.mercedcourt.org/contact_info.shtml		CV, CR, FL, 						
Los Banos	http://www.mercedcourt.org/maps_directions.shtml	http://www.mercedcourt.org/hours_of_operation.shtml	http://www.mercedcourt.org/local_rules.shtml	http://www.mercedcourt.org/fee_bail_schedules.shtml	http://www.mercedcourt.org/index.shtml	http://www.mercedcourt.org/contact_info.shtml		CV, CR, SC, TR						
Modoc County	http://www.modocsuperiorcourt.ca.gov/location-&-maps.htm	none	http://www.modocsuperiorcourt.ca.gov/local-rules-of-court.htm	http://www.modocsuperiorcourt.ca.gov/fee-schedule.htm	http://www.modocsuperiorcourt.ca.gov/judges-&-staff.htm	http://www.modocsuperiorcourt.ca.gov/index.html		CV, CR, FL, JV, PR, SC, TR	no information on hours was found. Homepage acts as directory.					
Mono County	http://www.monocourt.org/location.htm	http://www.monocourt.org/location.htm	http://www.monocourt.org/court_rules.htm	http://www.monocourt.org/schedule.htm	http://www.monocourt.org/	none		SC						
Mammoth Lakes	http://www.monocourt.org/location.htm	http://www.monocourt.org/location.htm	http://www.monocourt.org/court_rules.htm	http://www.monocourt.org/schedule.htm	http://www.monocourt.org/	none		SC						
Monterey County	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx	http://www.monterey.courts.ca.gov/RulesOfCourt.aspx	http://www.monterey.courts.ca.gov/FeeSchedule.aspx	http://www.monterey.courts.ca.gov/General_Information/General.aspx	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx		CV, CH, FL, PR, SC						
Salinas	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx	http://www.monterey.courts.ca.gov/RulesOfCourt.aspx	http://www.monterey.courts.ca.gov/FeeSchedule.aspx	http://www.monterey.courts.ca.gov/General_Information/General.aspx	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx		AP, CR, JV, MH						
Marina	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx	http://www.monterey.courts.ca.gov/RulesOfCourt.aspx	http://www.monterey.courts.ca.gov/FeeSchedule.aspx	http://www.monterey.courts.ca.gov/General_Information/General.aspx	http://www.monterey.courts.ca.gov/General_Information/Locations.aspx		JV, TR						
Napa County	http://www.napa.courts.ca.gov/general-info/contacts-locations	http://www.napa.courts.ca.gov/general-info/contacts-locations	http://www.napa.courts.ca.gov/general-info/local-rules	http://www.napa.courts.ca.gov/forms-fees	http://www.napa.courts.ca.gov/general-info/judicial-assignments	http://www.napa.courts.ca.gov/general-info/contacts-locations		AP, CV, CR, FL, JV, SC, TR						
Nevada County	http://www.nevadacountycourts.com/services/general_info/gen_info.htm	http://www.nevadacountycourts.com/services/general_info/gen_info.htm	http://www.nevadacountycourts.com/services/general_info/rules_of_court.htm	http://www.nevadacountycourts.com/services/general_info/fee_schedule08.htm.old	http://www.nevadacountycourts.com/services/general_info/judicial_officers.htm	http://www.nevadacountycourts.com/services/general_info/gen_info.htm		CV, CR, FL, SC, TR						
Truckee	http://www.nevadacountycourts.com/services/general_info/gen_info.htm	http://www.nevadacountycourts.com/services/general_info/gen_info.htm	http://www.nevadacountycourts.com/services/general_info/rules_of_court.htm	http://www.nevadacountycourts.com/services/general_info/fee_schedule08.htm.old	http://www.nevadacountycourts.com/services/general_info/judicial_officers.htm	http://www.nevadacountycourts.com/services/general_info/gen_info.htm		CV, CR, FL, SC, TR						
Orange County	http://www.occourts.org/locations/community-court.html	http://www.occourts.org/locations/community-court.html	http://www.occourts.org/directory/local-rules/local-rules-of-court/	http://www.occourts.org/general-public/fee-schedule/	http://www.occourts.org/directory/judicial-officers/judicial-officers.html	http://www.occourts.org/locations/		AP, CV, CR, FL, IN, JV, MH, PR, SC, TR						
Placer County	http://www.placer.courts.ca.gov/locations.html	http://www.placer.courts.ca.gov/court-hours.html	http://www.placer.courts.ca.gov/local-rules.html	http://www.placer.courts.ca.gov/fee-schedules.html	http://www.placer.courts.ca.gov/general_information.html	none		AP, CV, CR, FL, JV, PR, TR						
Historic	http://www.placer.courts.ca.gov/locations.html	http://www.placer.courts.ca.gov/court-hours.html	http://www.placer.courts.ca.gov/local-rules.html	http://www.placer.courts.ca.gov/fee-schedules.html	http://www.placer.courts.ca.gov/general_information.html	none		AP, CV, CR, FL, JV, PR, TR						
Plumas County	http://www.plumascourt.ca.gov/Contact.htm	http://www.plumascourt.ca.gov/Contact.htm	http://www.plumascourt.ca.gov/Local%20Rules.htm	http://www.plumascourt.ca.gov/FeeSchedule.htm	none	none		CR, FL, TR	No information was found on who is the judge.					
Riverside County	http://www.riverside.courts.ca.gov/bldgs/historic.shtml	http://www.riverside.courts.ca.gov/bldgs/historic.shtml	http://www.riverside.courts.ca.gov/localrules/localrules.shtml	http://www.riverside.courts.ca.gov/	none	http://www.riverside.courts.ca.gov/phonenumbers.shtml		AP, CV, CR, FL, JV, PR, SC, TR	Ditto					
Sacramento County	https://www.saccourt.ca.gov/locations/locations.aspx	https://www.saccourt.ca.gov/locations/locations.aspx	https://www.saccourt.ca.gov/local-rules/local-rules.aspx	https://www.saccourt.ca.gov/indexes/fees-forms.aspx	https://www.saccourt.ca.gov/general/judicial-phone.aspx	https://www.saccourt.ca.gov/general/judicial-phone.aspx		CV, CR						
William R. Ridgeway	https://www.saccourt.ca.gov/locations/locations.aspx	https://www.saccourt.ca.gov/locations/locations.aspx	https://www.saccourt.ca.gov/local-rules/local-rules.aspx	https://www.saccourt.ca.gov/indexes/fees-forms.aspx	https://www.saccourt.ca.gov/general/judicial-phone.aspx	https://www.saccourt.ca.gov/general/judicial-phone.aspx		FL						
San Benito County	http://www.sanbenito.courts.ca.gov/court_location.htm	none	http://www.sanbenito.courts.ca.gov/index.htm	http://www.sanbenito.courts.ca.gov/filing_fees.htm	http://www.sanbenito.courts.ca.gov/index.htm	none		TR	No information found on hours.					
San Bernardino	http://www.sb-court.org/Locations/Barstow.aspx	http://www.sb-court.org/Locations/Barstow.aspx	http://www.sb-court.org/FormsandRules.aspx	http://www.sb-court.org/FormsandRules.aspx	none	http://www.sb-court.org/Locations.aspx		AP, CV, CR, FL, JV, MH, PR, SC, TR	fees tab goes directly to a PDF					
Fontana	http://www.sb-court.org/Locations/Fontana.aspx	http://www.sb-court.org/Locations/Fontana.aspx	http://www.sb-court.org/FormsandRules.aspx	http://www.sb-court.org/FormsandRules.aspx	none	http://www.sb-court.org/Locations.aspx		AP, CV, CR, FL, JV, MH, PR, SC, TR						
Joshua Tree	http://www.sb-court.org/Locations/JoshuaTree.aspx	http://www.sb-court.org/Locations/JoshuaTree.aspx	http://www.sb-court.org/FormsandRules.aspx	http://www.sb-court.org/FormsandRules.aspx	none	http://www.sb-court.org/Locations.aspx		AP, CV, CR, FL, JV, MH, PR, SC, TR						
San Diego County	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1059008&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1635873&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1117634&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057199&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057194&_dad=portal&_schema=PORTAL	none		AP, CR, FL, JV						
Madge Bradley	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1059085&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1635873&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1117634&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057199&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057194&_dad=portal&_schema=PORTAL	none		FL, PR						
Kearny Mesa	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1059076&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1635873&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1117634&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057199&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057194&_dad=portal&_schema=PORTAL	none		TR						
East	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1059067&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1635873&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1117634&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057199&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057194&_dad=portal&_schema=PORTAL	none		CR, FL, JV, TR						
North 	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1058990&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1635873&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1117634&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057199&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057194&_dad=portal&_schema=PORTAL	none		AP, CV, CR, FL, SC, TR						
South	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1059049&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1635873&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1117634&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057199&_dad=portal&_schema=PORTAL	http://www.sdcourt.ca.gov/portal/page?_pageid=55,1057194&_dad=portal&_schema=PORTAL	none		CR, FL, JV, TR						
San Francisco County	http://www.sfsuperiorcourt.org/general-info/directions	none	http://www.sfsuperiorcourt.org/general-info/local-rules	http://www.sfsuperiorcourt.org/forms-filing/fees	http://www.sfsuperiorcourt.org/	http://www.sfsuperiorcourt.org/general-info/contact		AP, CV, CR, PR, SC, TR, UD	No information was found on hours. Directory has links to lists of contacts for staff and judges.					
San Joaquin County	https://www.sjcourts.org/general-info/court-locations-contact/stockton-courthouse/	https://www.sjcourts.org/general-info/court-locations-contact/hours-of-operation-holiday-schedule/	https://www.sjcourts.org/general-info/local-rules/	https://www.sjcourts.org/forms-filing/court-fee-schedule/	none	none		CV, FL, JV,  PR, SC, UD	no information was found on who the judges are.					
Stockton Family	https://www.sjcourts.org/general-info/court-locations-contact/stockton-family-law-courthouse/	https://www.sjcourts.org/general-info/court-locations-contact/hours-of-operation-holiday-schedule/	https://www.sjcourts.org/general-info/local-rules/	https://www.sjcourts.org/forms-filing/court-fee-schedule/	none	none		FL						
San Luis Obispo County	http://slocourts.net/about/addresses	http://slocourts.net/about	http://slocourts.net/forms/rules_of_court	http://slocourts.net/services/forms/local	none	http://slocourts.net/about/addresses		CV, CR, FL, TR	no information found on judges.					
San Mateo County	http://www.sanmateocourt.org/general_info/locations_and_contact_info/	http://www.sanmateocourt.org/general_info/locations_and_contact_info/hours.php#central	http://www.sanmateocourt.org/general_info/local_rules/	http://www.sanmateocourt.org/forms_and_filing/fee_schedule.php	http://www.sanmateocourt.org/	http://www.sanmateocourt.org/general_info/locations_and_contact_info/phone_numbers.php		CV, CR, FL, JV, SC, PR, TR						
Santa Barbara County	http://www.sbcourts.org/gi/loc/index.shtm	http://www.sbcourts.org/gi/loc/sb.shtm	http://www.sbcourts.org/ff/local-rulesTOC.shtm	http://www.sbcourts.org/ff/filing-fees.shtm	http://www.sbcourts.org/gi/loc/sb.shtm	none		AP, CV, FL, JV, PR, SC						
Santa Maria	http://www.sbcourts.org/gi/loc/index.shtm	http://www.sbcourts.org/gi/loc/sm.shtm	http://www.sbcourts.org/ff/local-rulesTOC.shtm	http://www.sbcourts.org/ff/filing-fees.shtm	http://www.sbcourts.org/gi/loc/sm.shtm	none		AP, CV, FL, JV, MH, PR, SC						
Lompoc	http://www.sbcourts.org/gi/loc/index.shtm	http://www.sbcourts.org/gi/loc/lm.shtm	http://www.sbcourts.org/ff/local-rulesTOC.shtm	http://www.sbcourts.org/ff/filing-fees.shtm	http://www.sbcourts.org/gi/loc/lm.shtm	none		CV, CR, FL, TR, UD						
Solvang	http://www.sbcourts.org/gi/loc/index.shtm	http://www.sbcourts.org/gi/loc/sv.shtm	http://www.sbcourts.org/ff/local-rulesTOC.shtm	http://www.sbcourts.org/ff/filing-fees.shtm	none	none		CV, SC, TR						
Santa Clara County	http://www.scscourt.org/general_info/contact/courthouses.shtml	http://www.scscourt.org/general_info/contact/courthouses/santaclara.shtml	http://www.scscourt.org/general_info/rules/rules_home.shtml	http://www.scscourt.org/forms_and_filing/fees.shtml	http://www.scscourt.org/index.shtml	http://www.scscourt.org/general_info/contact/contact.shtml		TR						
Notre Dame	http://www.scscourt.org/general_info/contact/courthouses.shtml	http://www.scscourt.org/general_info/contact/courthouses/notredame.shtml	http://www.scscourt.org/general_info/rules/rules_home.shtml	http://www.scscourt.org/forms_and_filing/fees.shtml	http://www.scscourt.org/index.shtml	http://www.scscourt.org/general_info/contact/contact.shtml		FL						
Palo Alto	http://www.scscourt.org/general_info/contact/courthouses.shtml	http://www.scscourt.org/general_info/contact/courthouses/paloalto.shtml	http://www.scscourt.org/general_info/rules/rules_home.shtml	http://www.scscourt.org/forms_and_filing/fees.shtml	http://www.scscourt.org/index.shtml	http://www.scscourt.org/general_info/contact/contact.shtml		CR						
Sunnyvale	http://www.scscourt.org/general_info/contact/courthouses.shtml	http://www.scscourt.org/general_info/contact/courthouses/sunnyvale.shtml	http://www.scscourt.org/general_info/rules/rules_home.shtml	http://www.scscourt.org/forms_and_filing/fees.shtml	http://www.scscourt.org/index.shtml	http://www.scscourt.org/general_info/contact/contact.shtml		FL						
Terraine	http://www.scscourt.org/general_info/contact/courthouses.shtml	http://www.scscourt.org/general_info/contact/courthouses/terraine.shtml	http://www.scscourt.org/general_info/rules/rules_home.shtml	http://www.scscourt.org/forms_and_filing/fees.shtml	http://www.scscourt.org/index.shtml	http://www.scscourt.org/general_info/contact/contact.shtml		CR, FL						
Santa Cruz County	http://www.santacruzcourt.org/info/locations-contact	http://www.santacruzcourt.org/info/locations-contact	http://www.santacruzcourt.org/forms-filing/local-rules	http://www.santacruzcourt.org/forms-filing/fee-bail-schedules	http://www.santacruzcourt.org/info/judicial-assignments	http://www.santacruzcourt.org/info/locations-contact		CV, CR, FL, JV, PR, SC, TR						
Watsonville	http://www.santacruzcourt.org/info/locations-contact	http://www.santacruzcourt.org/info/locations-contact	http://www.santacruzcourt.org/forms-filing/local-rules	http://www.santacruzcourt.org/forms-filing/fee-bail-schedules	http://www.santacruzcourt.org/info/judicial-assignments	http://www.santacruzcourt.org/info/locations-contact		CV, CR, FL, JV, PR, SC, TR						
Shasta County	http://www.shastacourts.com/General-Info/Locations.shtml	http://www.shastacourts.com/General-Info/Administration.shtml	http://www.shastacourts.com/index.shtml	http://www.shastacourts.com/index.shtml	http://www.shastacourts.com/General-Info/Administration.shtml	http://www.shastacourts.com/General-Info/ContactInfo.shtml		AP, CV, CR, FL, JV, PR, SC, TR, UD						
Sierra County	http://sierracourt.org/GeneralInfo/tabid/55/Default.aspx	http://sierracourt.org/GeneralInfo/tabid/55/Default.aspx	http://sierracourt.org/RulesofCourt/tabid/83/Default.aspx	http://sierracourt.org/FilingFees/tabid/61/Default.aspx	http://sierracourt.org/GeneralInfo/tabid/55/Default.aspx			FL, TR						
Siskiyou County	http://www.siskiyou.courts.ca.gov/Index.asp	none	http://www.siskiyou.courts.ca.gov/Page.asp?NavID=498	none	none			TR	No information was found on hours, fees, or judges.					
Solano County	http://www.solano.courts.ca.gov/ContactUs.html	http://www.solano.courts.ca.gov/GeneralInformation/Administration.html	http://www.solano.courts.ca.gov/LocalRulesofCourt.html	http://www.solano.courts.ca.gov/FilingFees/	http://www.solano.courts.ca.gov/ContactUs.html			CV, CR, FL, JV, PR, SC, TR						
Sonoma County	http://sonoma.courts.ca.gov/	http://sonoma.courts.ca.gov/	http://sonoma.courts.ca.gov/info/local-rules	http://sonoma.courts.ca.gov/info/local-rules	http://sonoma.courts.ca.gov/info/judicial-assignments			CV, CR, JV, PR, TR	fees tab goes directly to a PDF					
Stanislaus County	http://www.stanct.org/main-courthouse	http://www.stanct.org/operating-hours	http://www.stanct.org/local-rules-fee-schedule	http://www.stanct.org/local-rules-fee-schedule	http://www.stanct.org/judicial-assignments	http://www.stanct.org/administration		CV, CR, FL, JV, PR, SC< TR						
Sutter County	http://www.suttercourts.com/	http://www.suttercourts.com/	http://www.suttercourts.com/general-info/local-rules-of-court	http://www.suttercourts.com/node/243	http://www.suttercourts.com/general-info/judicial-officers			AP, CV, CR, FL, JV, PR, SC, TR						
East	http://www.suttercourts.com/	http://www.suttercourts.com/	http://www.suttercourts.com/general-info/local-rules-of-court	http://www.suttercourts.com/node/243	http://www.suttercourts.com/general-info/judicial-officers			AP, CV, CR, FL, JV, PR, SC, TR						
Tehama County	http://www.tehamacourt.ca.gov/	http://www.tehamacourt.ca.gov/directions.htm	http://www.tehamacourt.ca.gov/index.htm	http://www.tehamacourt.ca.gov/index.htm	none	none		CV, CR, FL, JV, PR, SC, TR	tab for court rules and fees both lead to PDF. no information found on Judges for the county					
Trinity County	http://www.trinity.courts.ca.gov/	http://www.trinity.courts.ca.gov/	http://www.trinity.courts.ca.gov/#!local-rules/cel4	http://www.trinity.courts.ca.gov/#!local-fee-schedules/czzw	http://www.trinity.courts.ca.gov/	http://www.trinity.courts.ca.gov/#!contact-us/cyt2		AP, CV, CR, FL, JV, SC, TR						
Tulare County	http://www.tularesuperiorcourt.ca.gov/index.php?section=locations-and-contact	http://www.tularesuperiorcourt.ca.gov/index.php?section=locations-and-contact	http://www.tularesuperiorcourt.ca.gov/index.php?section=forms-fees-and-rules	http://www.tularesuperiorcourt.ca.gov/index.php?section=forms-fees-and-rules	http://www.tularesuperiorcourt.ca.gov/index.php?section=home	http://www.tularesuperiorcourt.ca.gov/index.php?section=locations-and-contact		AP, CV, CR, FL, JV, PR, SC, TR						
Dinuba	http://www.tularesuperiorcourt.ca.gov/index.php?section=locations-and-contact	http://www.tularesuperiorcourt.ca.gov/index.php?section=locations-and-contact	http://www.tularesuperiorcourt.ca.gov/index.php?section=forms-fees-and-rules	http://www.tularesuperiorcourt.ca.gov/index.php?section=forms-fees-and-rules	http://www.tularesuperiorcourt.ca.gov/index.php?section=home	http://www.tularesuperiorcourt.ca.gov/index.php?section=locations-and-contact		SC, TR, UD						
Tuolumne County	http://www.tuolumne.courts.ca.gov/general-info/directions.shtml	http://www.tuolumne.courts.ca.gov/general-info/directions.shtml	http://www.tuolumne.courts.ca.gov/Local%20Rules.shtml	http://www.courts.ca.gov/7646.htm	http://www.tuolumne.courts.ca.gov/general-info/judicial-assignments.shtml	http://www.tuolumne.courts.ca.gov/general-info/contact-us.shtml		AP, CV, CR, FL, JV, PR, SC, TR, UD						
Ventura County	http://www.ventura.courts.ca.gov/locations.html	http://www.ventura.courts.ca.gov/locations.html	http://www.ventura.courts.ca.gov/local-rules.html	http://www.ventura.courts.ca.gov/schedules.html	http://www.ventura.courts.ca.gov/assignments-vent.html	http://www.ventura.courts.ca.gov/phone-directory.html	http://www.ventura.courts.ca.gov/holidays.html	AP, CV, CR, FL, JV, PR, SC, TR 						
SImi Valley	http://www.ventura.courts.ca.gov/locations.html	http://www.ventura.courts.ca.gov/locations.html	http://www.ventura.courts.ca.gov/local-rules.html	http://www.ventura.courts.ca.gov/schedules.html	http://www.ventura.courts.ca.gov/assignments-vent.html	http://www.ventura.courts.ca.gov/assignments-vent.html	http://www.ventura.courts.ca.gov/holidays.html	SC, TR						
Yolo County	http://www.yolo.courts.ca.gov/general-info/locations	http://www.yolo.courts.ca.gov/	http://www.yolo.courts.ca.gov/general-info/local-rules	http://www.yolo.courts.ca.gov/forms-filing/fee-schedule	http://www.yolo.courts.ca.gov/general-info/judicial-assignments	http://www.yolo.courts.ca.gov/general-info/judicial-assignments	http://www.yolo.courts.ca.gov/general-info/court-holidays	CV, CR, JV, FL, SC, TR						
Yuba County	http://www.yubacourts.org/	http://www.yubacourts.org/	http://www.yubacourts.org/general-info/local-rules	http://www.yubacourts.org/forms-filing/fee-schedule	http://www.yubacourts.org/general-info/judicial-assignments	http://www.yubacourts.org/general-info/judicial-assignments	http://www.yubacourts.org/general-info/holidays	CV, CR, FL, JV, PR, SC, TR, UD						
